,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0006661899969913065,46.0,0.0,True,300,0.25,512
1,1,0.02698572099325247,67.0,2.0,True,300,0.25,512
2,2,0.05134080199059099,67.0,3.0,True,300,0.25,512
3,3,0.07369893198483624,67.0,4.0,True,300,0.25,512
4,4,0.09402767199208029,68.0,6.0,True,300,0.25,512
5,5,0.11699687800137326,71.0,8.0,True,300,0.25,512
6,6,0.13695388499763794,72.0,10.0,True,300,0.25,512
7,7,0.15711407500202768,75.0,12.0,True,300,0.25,512
8,8,0.17713255897979252,77.0,14.0,True,300,0.25,512
9,9,0.20010509897838347,81.0,16.0,True,300,0.25,512
10,10,0.21856775297783315,82.0,18.0,True,300,0.25,512
11,11,0.2377506599877961,85.0,20.0,True,300,0.25,512
12,12,0.2557213819818571,87.0,22.0,True,300,0.25,512
13,13,0.2737683779851068,89.0,24.0,True,300,0.25,512
14,14,0.2970549819874577,89.0,25.0,True,300,0.25,512
15,15,0.3405869919806719,91.0,27.0,True,300,0.25,512
16,16,0.3647227869951166,91.0,28.0,True,300,0.25,512
17,17,0.4112771670043003,91.0,29.0,True,300,0.25,512
18,18,0.42869940999662504,91.0,30.0,True,300,0.25,512
19,19,0.4673228229803499,91.0,31.0,True,300,0.25,512
20,20,0.5095970059919637,91.0,32.0,True,300,0.25,512
21,21,0.5540408800006844,91.0,33.0,True,300,0.25,512
22,22,0.571752176998416,91.0,34.0,True,300,0.25,512
23,23,0.6161679109791294,91.0,35.0,True,300,0.25,512
24,24,0.6622954529884737,91.0,36.0,True,300,0.25,512
25,25,0.7089382039848715,91.0,37.0,True,300,0.25,512
26,26,0.7557831580052152,91.0,38.0,True,300,0.25,512
27,27,0.8025447519903537,91.0,39.0,True,300,0.25,512
28,28,0.8502031599928159,91.0,40.0,True,300,0.25,512
29,29,0.8979721340001561,91.0,41.0,True,300,0.25,512
30,30,0.9450333949935157,91.0,42.0,True,300,0.25,512
