,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0002744230005191639,21.0,0.0,200,0.4,512
1,1,0.00665292500070791,35.0,2.0,200,0.4,512
2,2,0.012864880000051926,36.0,4.0,200,0.4,512
3,3,0.01898546700067527,37.0,6.0,200,0.4,512
4,4,0.02349019700068311,37.0,7.0,200,0.4,512
5,5,0.02960749400062923,37.0,8.0,200,0.4,512
6,6,0.03408651700010523,38.0,10.0,200,0.4,512
7,7,0.038515424000252096,40.0,12.0,200,0.4,512
8,8,0.042897357000583725,40.0,13.0,200,0.4,512
9,9,0.048959151999952155,42.0,15.0,200,0.4,512
10,10,0.0533676060003927,42.0,16.0,200,0.4,512
11,11,0.05774484600078722,43.0,18.0,200,0.4,512
12,12,0.06209058800050116,43.0,19.0,200,0.4,512
13,13,0.06643941400034237,43.0,20.0,200,0.4,512
14,14,0.07082777899995563,44.0,22.0,200,0.4,512
15,15,0.07518190000064351,46.0,24.0,200,0.4,512
16,16,0.07956952800032013,46.0,25.0,200,0.4,512
17,17,0.08578316200055269,46.0,26.0,200,0.4,512
18,18,0.09020403700014867,46.0,27.0,200,0.4,512
19,19,0.0946504890007418,46.0,28.0,200,0.4,512
20,20,0.09903923000001669,46.0,29.0,200,0.4,512
21,21,0.10344785500001308,46.0,30.0,200,0.4,512
22,22,0.10784702999990259,46.0,31.0,200,0.4,512
23,23,0.11221357500016893,46.0,32.0,200,0.4,512
24,24,0.11657791100060422,46.0,33.0,200,0.4,512
25,25,0.12102552600026684,47.0,35.0,200,0.4,512
26,26,0.12549378099993191,47.0,36.0,200,0.4,512
27,27,0.129899743000351,47.0,37.0,200,0.4,512
28,28,0.1342514680000022,47.0,38.0,200,0.4,512
29,29,0.1386435070007792,47.0,39.0,200,0.4,512
30,30,0.14303375800045615,47.0,40.0,200,0.4,512
31,31,0.14743888700013486,47.0,41.0,200,0.4,512
32,32,0.15179311800056894,47.0,42.0,200,0.4,512
33,33,0.15839709300053073,47.0,43.0,200,0.4,512
34,34,0.1627916980005466,47.0,44.0,200,0.4,512
35,35,0.16731259400057752,47.0,45.0,200,0.4,512
36,36,0.17179770800066763,47.0,46.0,200,0.4,512
37,37,0.17619818900038808,47.0,47.0,200,0.4,512
38,38,0.1805957810001928,47.0,48.0,200,0.4,512
39,39,0.18498416300008103,47.0,49.0,200,0.4,512
40,40,0.18933770000057848,47.0,50.0,200,0.4,512
41,41,0.19368475100054638,47.0,51.0,200,0.4,512
42,42,0.1980825119999281,47.0,52.0,200,0.4,512
43,43,0.20246273700013262,47.0,53.0,200,0.4,512
