,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,24.0,0,7.931000436656177e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.00999999603450057,0.01,4096
1,1,25.0,2,0.002513054001610726,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.009999874348089348,0.01,4096
2,2,25.0,4,0.0044282480084802955,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.009999778590050731,0.01,4096
3,4,25.0,6,0.006239982001716271,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.009999688005767036,0.01,4096
4,8,29.0,14,0.007954114000312984,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.009999602302208371,0.01,4096
5,16,29.0,26,0.009776692022569478,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",exponential,0.01,0.005,0.001,0.00999951117734664,0.01,4096
6,32,32.0,44,0.0118059620144777,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",exponential,0.01,0.005,0.001,0.009999409719321527,0.01,4096
7,64,35.0,85,0.014393356017535552,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",exponential,0.01,0.005,0.001,0.00999928035809459,0.01,4096
8,128,36.0,156,0.018336287001147866,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",exponential,0.01,0.005,0.001,0.009999083227676087,0.01,4096
9,256,37.0,286,0.02679070201702416,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",exponential,0.01,0.005,0.001,0.009998660554612859,0.01,4096
10,512,37.0,542,0.04970574000617489,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",exponential,0.01,0.005,0.001,0.009997515021806682,0.01,4096
11,1024,37.0,1054,0.1200554690149147,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",exponential,0.01,0.005,0.001,0.009993999027853265,0.01,4096
12,2048,37.0,2078,0.3864155409974046,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",exponential,0.01,0.005,0.001,0.009980697875556726,0.01,4096
13,4096,37.0,2173,0.42641062699840404,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",exponential,0.01,0.005,0.001,0.009978702180758926,0.01,4096
14,0,24.0,0,5.327697726897895e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.1,0.005,0.001,0.09999997336151492,0.1,4096
15,1,25.0,2,0.007964710996020585,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,0.1,0.005,0.001,0.09999601772379672,0.1,4096
