,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0022473260178230703,24.0,200.0,200,0.3,4096
1,1,0.011209674004931003,30.0,402.0,200,0.3,4096
2,2,0.019610229996033013,30.0,603.0,200,0.3,4096
3,3,0.027985131018795073,30.0,804.0,200,0.3,4096
4,4,0.0343777560046874,30.0,1005.0,200,0.3,4096
5,5,0.04249754099873826,30.0,1206.0,200,0.3,4096
6,6,0.04917476000264287,31.0,1408.0,200,0.3,4096
7,7,0.055562997004017234,32.0,1610.0,200,0.3,4096
8,8,0.06194678202155046,32.0,1811.0,200,0.3,4096
9,9,0.07050124101806432,32.0,2012.0,200,0.3,4096
10,10,0.07702978400629945,33.0,2214.0,200,0.3,4096
11,11,0.08347621900611557,33.0,2415.0,200,0.3,4096
12,12,0.0900010810000822,33.0,2616.0,200,0.3,4096
13,13,0.09639007001533173,33.0,2817.0,200,0.3,4096
14,14,0.1028823509986978,33.0,3018.0,200,0.3,4096
15,15,0.10940487700281665,33.0,3219.0,200,0.3,4096
16,16,0.11585799499880522,33.0,3420.0,200,0.3,4096
17,17,0.1246102150180377,33.0,3621.0,200,0.3,4096
18,18,0.1310424020048231,35.0,3823.0,200,0.3,4096
19,19,0.13755827301065437,35.0,4024.0,200,0.3,4096
20,20,0.1439615460112691,35.0,4225.0,200,0.3,4096
21,21,0.15047852901625447,35.0,4426.0,200,0.3,4096
22,22,0.156969614996342,35.0,4627.0,200,0.3,4096
23,23,0.16344227601075545,35.0,4828.0,200,0.3,4096
24,24,0.17001638101646677,36.0,5030.0,200,0.3,4096
25,25,0.17647082800976932,36.0,5231.0,200,0.3,4096
26,26,0.18294394100666977,37.0,5433.0,200,0.3,4096
27,27,0.18942944399896078,37.0,5634.0,200,0.3,4096
28,28,0.19586240602075122,37.0,5835.0,200,0.3,4096
29,29,0.20239978699828498,37.0,6036.0,200,0.3,4096
30,30,0.20891286002006382,37.0,6237.0,200,0.3,4096
31,31,0.21536011001444422,37.0,6438.0,200,0.3,4096
32,32,0.22180115600349382,37.0,6639.0,200,0.3,4096
33,33,0.23003636399516836,37.0,6840.0,200,0.3,4096
34,34,0.23649427201598883,37.0,7041.0,200,0.3,4096
35,35,0.2430097300093621,37.0,7242.0,200,0.3,4096
36,36,0.24936229101149365,37.0,7443.0,200,0.3,4096
37,37,0.2557825529947877,37.0,7644.0,200,0.3,4096
38,38,0.26224502801778726,37.0,7845.0,200,0.3,4096
39,39,0.26869344801525585,37.0,8046.0,200,0.3,4096
40,40,0.27508619500440545,37.0,8247.0,200,0.3,4096
41,41,0.281463546998566,37.0,8448.0,200,0.3,4096
42,42,0.2878798680030741,37.0,8649.0,200,0.3,4096
43,43,0.29432273100246675,37.0,8850.0,200,0.3,4096
44,44,0.30077165699913166,37.0,9051.0,200,0.3,4096
45,45,0.3071989890013356,37.0,9252.0,200,0.3,4096
46,46,0.317078615014907,37.0,9453.0,200,0.3,4096
47,47,0.32837020701845177,37.0,9654.0,200,0.3,4096
48,48,0.3442308430094272,37.0,9855.0,200,0.3,4096
49,49,0.3569261110096704,37.0,10056.0,200,0.3,4096
50,50,0.37186422501690686,37.0,10257.0,200,0.3,4096
51,51,0.39247569799772464,37.0,10458.0,200,0.3,4096
52,52,0.4033617149980273,37.0,10659.0,200,0.3,4096
53,53,0.4106777450069785,37.0,10860.0,200,0.3,4096
54,54,0.419933327997569,37.0,11061.0,200,0.3,4096
55,55,0.42694761900929734,37.0,11262.0,200,0.3,4096
56,56,0.43384913200861774,37.0,11463.0,200,0.3,4096
57,57,0.440450801019324,37.0,11664.0,200,0.3,4096
58,58,0.4480351310048718,37.0,11865.0,200,0.3,4096
59,59,0.45493384401197545,37.0,12066.0,200,0.3,4096
60,60,0.46179664399824105,37.0,12267.0,200,0.3,4096
61,61,0.46847098402213305,37.0,12468.0,200,0.3,4096
62,62,0.4752652730094269,37.0,12669.0,200,0.3,4096
63,63,0.48215034502209164,37.0,12870.0,200,0.3,4096
64,64,0.4889606090146117,37.0,13071.0,200,0.3,4096
65,65,0.49854167201556265,37.0,13272.0,200,0.3,4096
66,66,0.5055388030014001,37.0,13473.0,200,0.3,4096
67,67,0.5124606390018016,37.0,13674.0,200,0.3,4096
68,68,0.5194120650121477,37.0,13875.0,200,0.3,4096
69,69,0.526405006996356,37.0,14076.0,200,0.3,4096
70,70,0.5334587730176281,37.0,14277.0,200,0.3,4096
71,71,0.5428221350011881,37.0,14478.0,200,0.3,4096
72,72,0.5523428940214217,37.0,14679.0,200,0.3,4096
73,73,0.5593769620172679,37.0,14880.0,200,0.3,4096
74,74,0.5663421330100391,37.0,15081.0,200,0.3,4096
75,75,0.5733831069956068,37.0,15282.0,200,0.3,4096
76,76,0.580288269004086,37.0,15483.0,200,0.3,4096
77,77,0.5872652679972816,37.0,15684.0,200,0.3,4096
78,78,0.5941790070210118,37.0,15885.0,200,0.3,4096
79,79,0.6011430320213549,37.0,16086.0,200,0.3,4096
80,80,0.6081178930180613,37.0,16287.0,200,0.3,4096
81,81,0.6150677880214062,37.0,16488.0,200,0.3,4096
82,82,0.6221730020188261,37.0,16689.0,200,0.3,4096
83,83,0.6290835490217432,37.0,16890.0,200,0.3,4096
84,84,0.6357230660214555,37.0,17091.0,200,0.3,4096
85,85,0.6422867180081084,37.0,17292.0,200,0.3,4096
86,86,0.648894491023384,37.0,17493.0,200,0.3,4096
87,87,0.6556382730195764,37.0,17694.0,200,0.3,4096
88,88,0.6622048610006459,37.0,17895.0,200,0.3,4096
89,89,0.6689321720041335,37.0,18096.0,200,0.3,4096
90,90,0.6755654910230078,37.0,18297.0,200,0.3,4096
91,91,0.6821235539973713,37.0,18498.0,200,0.3,4096
92,92,0.6887356619990896,37.0,18699.0,200,0.3,4096
93,93,0.6953528330195695,37.0,18900.0,200,0.3,4096
94,94,0.7018896189983934,37.0,19101.0,200,0.3,4096
95,95,0.7086501989979297,37.0,19302.0,200,0.3,4096
96,96,0.7152834559965413,37.0,19503.0,200,0.3,4096
