,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,24.0,0,6.868000491522253e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,512,0
1,1,25.0,2,0.00196040200535208,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,512,0
2,2,25.0,3,0.0035280050069559366,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,512,0
3,4,29.0,6,0.0050456710159778595,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,512,0
4,8,29.0,10,0.006565902003785595,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,512,0
5,16,36.0,20,0.008169300010195002,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
6,32,36.0,36,0.009941696014720947,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
7,64,36.0,68,0.012199081014841795,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
8,128,36.0,132,0.01574290302232839,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
9,256,36.0,260,0.023062704014591873,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
10,512,36.0,515,0.043147593998583034,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,512,0
