,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.005628722000437847,11.0,200.0,True,200,0.25,512
1,1,0.06298536200029048,14.0,402.0,True,200,0.25,512
2,2,0.12483246900046652,15.0,604.0,True,200,0.25,512
3,3,0.18914101800055505,15.0,805.0,True,200,0.25,512
4,4,0.2490536149998661,15.0,1006.0,True,200,0.25,512
5,5,0.31556706599985773,15.0,1207.0,True,200,0.25,512
6,6,0.36566752700036886,16.0,1409.0,True,200,0.25,512
7,7,0.4140922860005958,16.0,1610.0,True,200,0.25,512
8,8,0.4696733470000254,22.0,1812.0,True,200,0.25,512
9,9,0.5212202040002012,22.0,2013.0,True,200,0.25,512
10,10,0.5775885980001476,22.0,2214.0,True,200,0.25,512
11,11,0.6812258620002467,22.0,2415.0,True,200,0.25,512
12,12,0.7293019710004955,22.0,2616.0,True,200,0.25,512
13,13,0.8287257339998177,22.0,2817.0,True,200,0.25,512
14,14,0.879274013000213,22.0,3018.0,True,200,0.25,512
15,15,0.9272484520006401,22.0,3219.0,True,200,0.25,512
16,16,1.0015480720003325,22.0,3420.0,True,200,0.25,512
17,17,1.1241843110001355,22.0,3621.0,True,200,0.25,512
18,18,1.2506997549999141,22.0,3822.0,True,200,0.25,512
19,19,1.3727270910003426,22.0,4023.0,True,200,0.25,512
20,20,1.4952908880004543,23.0,4225.0,True,200,0.25,512
21,21,1.624987828000485,23.0,4426.0,True,200,0.25,512
22,22,1.7535175160001018,23.0,4627.0,True,200,0.25,512
23,23,1.8762349520002317,23.0,4828.0,True,200,0.25,512
24,24,1.9988889810001638,23.0,5029.0,True,200,0.25,512
25,25,2.1289179679997687,23.0,5230.0,True,200,0.25,512
26,26,2.2575048950002383,23.0,5431.0,True,200,0.25,512
27,27,2.380353639000532,23.0,5632.0,True,200,0.25,512
28,28,2.5028938149998794,23.0,5833.0,True,200,0.25,512
29,29,2.6331677140005922,23.0,6034.0,True,200,0.25,512
30,30,2.761753243000385,23.0,6235.0,True,200,0.25,512
31,31,2.8845634760000394,23.0,6436.0,True,200,0.25,512
32,32,3.0069437900001503,23.0,6637.0,True,200,0.25,512
33,33,3.136821253000562,23.0,6838.0,True,200,0.25,512
34,34,3.2663970160001554,23.0,7039.0,True,200,0.25,512
35,35,3.3896440960006657,23.0,7240.0,True,200,0.25,512
36,36,3.512232072000188,23.0,7441.0,True,200,0.25,512
37,37,3.64160841300054,23.0,7642.0,True,200,0.25,512
38,38,3.770200840000143,23.0,7843.0,True,200,0.25,512
39,39,3.893372379000539,23.0,8044.0,True,200,0.25,512
40,40,4.015762161000566,23.0,8245.0,True,200,0.25,512
41,41,4.142436979000195,23.0,8446.0,True,200,0.25,512
42,42,4.269722339000509,23.0,8647.0,True,200,0.25,512
43,43,4.392260077000174,23.0,8848.0,True,200,0.25,512
44,44,4.514851457000077,23.0,9049.0,True,200,0.25,512
45,45,4.643283793000592,23.0,9250.0,True,200,0.25,512
46,46,4.771859492000658,23.0,9451.0,True,200,0.25,512
47,47,4.895543026999803,23.0,9652.0,True,200,0.25,512
48,48,5.017930026000613,23.0,9853.0,True,200,0.25,512
49,49,5.1446085429997765,23.0,10054.0,True,200,0.25,512
50,50,5.271421797000585,23.0,10255.0,True,200,0.25,512
51,51,5.395046510000611,23.0,10456.0,True,200,0.25,512
52,52,5.5173726279999755,23.0,10657.0,True,200,0.25,512
53,53,5.646051814000202,23.0,10858.0,True,200,0.25,512
54,54,5.771993916000611,23.0,11059.0,True,200,0.25,512
55,55,5.895605374000297,23.0,11260.0,True,200,0.25,512
56,56,6.017913436000526,23.0,11461.0,True,200,0.25,512
57,57,6.142934864000381,23.0,11662.0,True,200,0.25,512
58,58,6.269602659000157,23.0,11863.0,True,200,0.25,512
59,59,6.391585215999839,23.0,12064.0,True,200,0.25,512
60,60,6.513099597000291,23.0,12265.0,True,200,0.25,512
61,61,6.642589445999874,23.0,12466.0,True,200,0.25,512
