,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,115.03323506933009,5,0.0002421890094410628,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.4,4096
1,1,115.03323506933009,11,0.002772362990071997,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.4,4096
2,2,115.03323506933009,17,0.004638254991732538,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.4,4096
3,4,115.03323506933009,29,0.0069124829897191375,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.4,4096
4,8,115.03323506933009,53,0.009882198995910585,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.4,4096
5,16,115.11956279284277,102,0.014194518007570878,"[2, 0, 3, 14, 18, 16, 5, 15, 4, 12, 8, 19, 13, 7, 20, 11, 21, 9, 17, 10, 1, 6]",5,0.4,4096
6,32,128.9021630873092,200,0.021554842998739332,"[16, 13, 3, 14, 18, 2, 5, 15, 4, 12, 8, 19, 10, 0, 7, 20, 11, 21, 9, 1, 17, 6]",5,0.4,4096
7,64,130.69857197127166,394,0.03550667699892074,"[17, 9, 3, 14, 18, 2, 5, 15, 4, 12, 8, 19, 10, 0, 7, 20, 11, 21, 13, 1, 16, 6]",5,0.4,4096
8,128,133.2981186997035,782,0.06292506499448791,"[17, 9, 3, 14, 18, 5, 2, 15, 4, 12, 6, 19, 10, 21, 7, 20, 11, 0, 13, 1, 16, 8]",5,0.4,4096
9,256,142.56513595901077,1555,0.11734636200708337,"[17, 9, 0, 14, 5, 18, 3, 12, 1, 15, 6, 19, 10, 21, 7, 20, 11, 2, 13, 4, 16, 8]",5,0.4,4096
10,512,145.26100978825525,3097,0.23120299499714747,"[18, 9, 0, 14, 5, 17, 4, 13, 2, 15, 6, 19, 7, 20, 10, 21, 11, 1, 12, 3, 16, 8]",5,0.4,4096
11,1024,147.1326886887686,6178,0.48693076899508014,"[19, 10, 1, 13, 3, 15, 5, 14, 4, 17, 6, 18, 8, 20, 9, 21, 11, 0, 12, 2, 16, 7]",5,0.4,4096
12,2048,148.0377787694951,12327,1.119096198992338,"[7, 20, 10, 0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 19, 9, 21, 11, 1, 13, 3, 16]",5,0.4,4096
13,4096,148.0377787694951,17559,1.7901182869973127,"[7, 20, 10, 0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 19, 9, 21, 11, 1, 13, 3, 16]",5,0.4,4096
14,0,115.03323506933009,5,0.00020595098612830043,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.6,4096
15,1,115.03323506933009,11,0.01199726399499923,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.6,4096
16,2,115.03323506933009,17,0.023711099987849593,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.6,4096
17,4,115.03323506933009,29,0.03595424199011177,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.6,4096
18,8,115.03323506933009,53,0.04891142199630849,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.6,4096
19,16,117.18070676397703,102,0.06338093298836611,"[10, 8, 14, 21, 15, 19, 12, 0, 5, 2, 7, 20, 11, 18, 4, 16, 9, 13, 3, 17, 6, 1]",5,0.6,4096
20,32,127.7409764145186,202,0.08101193499169312,"[10, 1, 14, 21, 8, 15, 5, 12, 0, 19, 2, 7, 20, 11, 18, 4, 16, 9, 13, 3, 17, 6]",5,0.6,4096
21,64,130.903124304448,396,0.10492825400433503,"[16, 1, 14, 21, 10, 8, 5, 12, 0, 13, 2, 7, 20, 11, 18, 4, 15, 3, 19, 9, 17, 6]",5,0.6,4096
22,128,136.8548956038091,786,0.14220891799777746,"[16, 1, 12, 5, 10, 2, 15, 8, 0, 13, 21, 7, 20, 11, 18, 4, 14, 3, 19, 9, 17, 6]",5,0.6,4096
23,256,140.64972145198377,1561,0.20617779801250435,"[15, 4, 12, 3, 19, 10, 2, 16, 8, 0, 13, 21, 7, 20, 11, 1, 14, 5, 18, 9, 17, 6]",5,0.6,4096
24,512,144.3197468750507,3107,0.33045091599342413,"[15, 5, 14, 4, 19, 10, 2, 16, 8, 21, 11, 0, 9, 20, 12, 1, 13, 3, 17, 7, 18, 6]",5,0.6,4096
25,1024,145.7879370387941,6185,0.5965302469849121,"[15, 3, 14, 5, 19, 10, 2, 16, 8, 20, 9, 21, 11, 0, 12, 1, 13, 4, 17, 7, 18, 6]",5,0.6,4096
26,2048,145.7879370387941,10901,1.0771225609933026,"[15, 3, 14, 5, 19, 10, 2, 16, 8, 20, 9, 21, 11, 0, 12, 1, 13, 4, 17, 7, 18, 6]",5,0.6,4096
