,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,115.03323506933009,0,0.00012834701919928193,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",exponential,5,0.005,0.001,4.99999679132555,5,4096
1,1,114.39833119820483,2,0.0025264050054829568,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",exponential,5,0.005,0.001,4.999936840273781,5,4096
2,2,120.84985506729639,4,0.004220163013087586,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 10, 17, 12, 18, 6, 2, 9, 21, 7, 4, 14, 19, 16]",exponential,5,0.005,0.001,4.9998944970377766,5,4096
3,4,113.90973062608126,8,0.005901502998312935,"[8, 1, 0, 13, 15, 5, 20, 11, 3, 10, 17, 12, 18, 6, 2, 9, 21, 7, 4, 14, 19, 16]",exponential,5,0.005,0.001,4.999852464601754,5,4096
4,8,116.10581317153333,14,0.007835540018277243,"[8, 21, 1, 13, 15, 5, 20, 11, 3, 10, 17, 12, 18, 6, 2, 9, 0, 7, 4, 14, 19, 16]",exponential,5,0.005,0.001,4.999804115336723,5,4096
5,16,102.23951868478493,27,0.009956626017810777,"[8, 21, 1, 13, 12, 5, 16, 11, 6, 0, 17, 15, 10, 3, 2, 9, 18, 7, 4, 14, 19, 20]",exponential,5,0.005,0.001,4.999751090545352,5,4096
6,32,116.08626380973952,53,0.012553893000585958,"[8, 21, 1, 13, 18, 2, 16, 7, 6, 11, 0, 15, 10, 17, 5, 12, 20, 14, 4, 3, 9, 19]",exponential,5,0.005,0.001,4.999686162524794,5,4096
7,64,112.96450519390443,101,0.01617555200937204,"[3, 17, 0, 19, 15, 8, 16, 13, 4, 21, 1, 7, 9, 18, 5, 12, 20, 14, 6, 11, 2, 10]",exponential,5,0.005,0.001,4.999595627552355,5,4096
8,128,117.59176234262162,199,0.022162141016451642,"[12, 15, 1, 5, 14, 9, 20, 10, 17, 7, 21, 13, 8, 19, 16, 3, 6, 11, 2, 18, 4, 0]",exponential,5,0.005,0.001,4.999445977170986,5,4096
9,256,130.3793506674449,378,0.03418144301394932,"[11, 20, 13, 3, 12, 10, 0, 16, 6, 14, 4, 18, 8, 1, 9, 19, 5, 17, 2, 15, 21, 7]",exponential,5,0.005,0.001,4.999145536943682,5,4096
10,512,141.95225741151148,679,0.06264956001541577,"[15, 4, 17, 6, 20, 12, 3, 13, 2, 11, 21, 9, 19, 5, 14, 1, 8, 16, 0, 10, 18, 7]",exponential,5,0.005,0.001,4.998434006284463,5,4096
11,1024,144.2381700429919,1219,0.14385813000262715,"[17, 5, 16, 6, 19, 10, 0, 13, 2, 11, 21, 8, 15, 3, 14, 1, 9, 18, 4, 12, 20, 7]",exponential,5,0.005,0.001,4.996404839887466,5,4096
12,2048,144.42123432041794,2251,0.41261911499896087,"[17, 5, 16, 6, 19, 10, 0, 12, 1, 11, 21, 8, 15, 3, 14, 2, 9, 18, 4, 13, 20, 7]",exponential,5,0.005,0.001,4.989695155719441,5,4096
13,4096,144.42123432041794,3650,1.011003919003997,"[17, 5, 16, 6, 19, 10, 0, 12, 1, 11, 21, 8, 15, 3, 14, 2, 9, 18, 4, 13, 20, 7]",exponential,5,0.005,0.001,4.9747886775751935,5,4096
