,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.010071281983982772,115.03323506933009,500.0,True,500,0.25,512
1,1,0.2919465769955423,125.74506998347917,1002.0,True,500,0.25,512
2,2,0.5658355369814672,135.73886431331022,1504.0,True,500,0.25,512
3,3,0.8377992940077092,135.73886431331022,2005.0,True,500,0.25,512
4,4,1.10855365198222,135.73886431331022,2506.0,True,500,0.25,512
5,5,1.3841767759877257,135.73886431331022,3007.0,True,500,0.25,512
6,6,1.6535264529811684,135.73886431331022,3508.0,True,500,0.25,512
7,7,1.9200993760023266,135.76982961526798,4010.0,True,500,0.25,512
8,8,2.187703851988772,135.76982961526798,4511.0,True,500,0.25,512
9,9,2.4575556030031294,136.84323656167044,5013.0,True,500,0.25,512
10,10,2.7237575229955837,138.7815967580192,5515.0,True,500,0.25,512
11,11,2.991345326998271,139.29798135269965,6017.0,True,500,0.25,512
12,12,3.268857121001929,139.29798135269965,6518.0,True,500,0.25,512
13,13,3.5359719999833032,139.29798135269965,7019.0,True,500,0.25,512
14,14,3.8102248029899783,139.29798135269965,7520.0,True,500,0.25,512
15,15,4.075292138004443,139.29798135269965,8021.0,True,500,0.25,512
16,16,4.340571631008061,139.29798135269965,8522.0,True,500,0.25,512
17,17,4.605786106985761,139.29798135269965,9023.0,True,500,0.25,512
18,18,4.883327957999427,139.29798135269965,9524.0,True,500,0.25,512
19,19,5.19595329000731,139.29798135269965,10025.0,True,500,0.25,512
20,20,5.512633742997423,139.29798135269965,10526.0,True,500,0.25,512
21,21,5.8226453280076385,139.29798135269965,11027.0,True,500,0.25,512
22,22,6.132515439996496,139.29798135269965,11528.0,True,500,0.25,512
23,23,6.448014105990296,139.29798135269965,12029.0,True,500,0.25,512
24,24,6.775939123996068,139.29798135269965,12530.0,True,500,0.25,512
25,25,7.088198009005282,139.29798135269965,13031.0,True,500,0.25,512
26,26,7.399013544985792,139.29798135269965,13532.0,True,500,0.25,512
27,27,7.709155955992173,139.29798135269965,14033.0,True,500,0.25,512
28,28,8.039002657984383,139.29798135269965,14534.0,True,500,0.25,512
29,29,8.353002624993678,139.29798135269965,15035.0,True,500,0.25,512
30,30,8.660227368003689,139.29798135269965,15536.0,True,500,0.25,512
31,31,8.971172572986688,139.29798135269965,16037.0,True,500,0.25,512
32,32,9.277098510006908,139.29798135269965,16538.0,True,500,0.25,512
33,33,9.587880220002262,139.29798135269965,17039.0,True,500,0.25,512
34,34,9.907642367004883,139.29798135269965,17540.0,True,500,0.25,512
35,35,10.217796598008135,139.29798135269965,18041.0,True,500,0.25,512
36,36,10.52643883699784,139.29798135269965,18542.0,True,500,0.25,512
37,37,10.83438686199952,139.29798135269965,19043.0,True,500,0.25,512
38,38,11.142312588985078,139.29798135269965,19544.0,True,500,0.25,512
39,39,11.449141016986687,139.29798135269965,20045.0,True,500,0.25,512
40,40,11.756299209984718,139.29798135269965,20546.0,True,500,0.25,512
41,41,12.065237278991845,139.29798135269965,21047.0,True,500,0.25,512
42,42,12.374020071991254,139.29798135269965,21548.0,True,500,0.25,512
43,43,12.681683906004764,139.29798135269965,22049.0,True,500,0.25,512
44,44,12.991342509980313,139.29798135269965,22550.0,True,500,0.25,512
45,45,13.300034165004035,139.29798135269965,23051.0,True,500,0.25,512
46,46,13.60896638999111,139.29798135269965,23552.0,True,500,0.25,512
47,47,13.923247119004373,139.29798135269965,24053.0,True,500,0.25,512
48,48,14.234430837997934,139.29798135269965,24554.0,True,500,0.25,512
49,49,14.542757956980495,139.29798135269965,25055.0,True,500,0.25,512
50,50,14.856029404996661,139.29798135269965,25556.0,True,500,0.25,512
51,51,15.16817009600345,139.29798135269965,26057.0,True,500,0.25,512
52,52,15.476946954004234,139.29798135269965,26558.0,True,500,0.25,512
53,53,15.786136343987891,139.29798135269965,27059.0,True,500,0.25,512
54,54,16.098232533986447,139.29798135269965,27560.0,True,500,0.25,512
55,55,16.41545839799801,139.29798135269965,28061.0,True,500,0.25,512
