,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,115.03323506933009,500,0.010071281983982772,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",True,500,0.25,512
1,1,125.74506998347917,1002,0.2919465769955423,"[5, 19, 3, 10, 2, 11, 21, 18, 4, 9, 15, 0, 17, 13, 1, 12, 8, 14, 7, 20, 6, 16]",True,500,0.25,512
2,2,135.73886431331022,1504,0.5658355369814672,"[12, 1, 17, 7, 3, 15, 4, 10, 20, 13, 19, 8, 21, 9, 0, 14, 6, 18, 11, 2, 16, 5]",True,500,0.25,512
3,4,135.73886431331022,2506,1.10855365198222,"[12, 1, 17, 7, 3, 15, 4, 10, 20, 13, 19, 8, 21, 9, 0, 14, 6, 18, 11, 2, 16, 5]",True,500,0.25,512
4,8,135.76982961526798,4511,2.187703851988772,"[12, 5, 17, 7, 3, 15, 4, 11, 20, 13, 19, 8, 0, 9, 21, 14, 6, 18, 10, 1, 16, 2]",True,500,0.25,512
5,16,139.29798135269965,8522,4.340571631008061,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
6,32,139.29798135269965,16538,9.277098510006908,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
7,64,139.29798135269965,32570,19.379510589002166,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
8,128,139.29798135269965,64634,39.940093534009065,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
9,256,139.29798135269965,128762,83.0545484769973,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
10,512,139.29798135269965,256517,166.90173292800318,"[12, 5, 17, 7, 3, 15, 4, 13, 20, 8, 19, 9, 21, 10, 0, 14, 6, 18, 11, 2, 16, 1]",True,500,0.25,512
