,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,115.03323506933009,0,0.00011082697892561555,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",0,512,0
1,1,115.03323506933009,1,0.0024098219873849303,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",0,512,0
2,2,115.03323506933009,2,0.010825151985045522,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",0,512,0
3,4,115.03323506933009,4,0.012445774977095425,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",0,512,0
4,8,119.08098052136475,9,0.014098993997322395,"[0, 16, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 13, 2, 9, 21, 7, 10, 14, 19, 6]",0,512,0
5,16,126.1267652997229,19,0.015950217988574877,"[0, 16, 8, 1, 15, 5, 20, 11, 3, 4, 17, 6, 18, 13, 2, 9, 21, 14, 10, 7, 19, 12]",0,512,0
6,32,132.48375334016205,37,0.018134774989448488,"[0, 16, 8, 1, 15, 5, 20, 11, 14, 4, 17, 6, 18, 13, 2, 9, 21, 10, 3, 7, 19, 12]",0,512,0
7,64,135.97292424130376,72,0.021148507978068665,"[0, 16, 8, 1, 14, 5, 20, 11, 15, 4, 17, 6, 18, 10, 2, 9, 21, 13, 3, 12, 19, 7]",0,512,0
8,128,143.87214362416276,143,0.026204620982753113,"[21, 8, 15, 1, 14, 5, 18, 7, 17, 4, 16, 6, 20, 10, 2, 11, 0, 13, 3, 12, 19, 9]",0,512,0
9,256,146.1779784866689,277,0.03628567198757082,"[21, 8, 15, 3, 14, 5, 18, 7, 17, 4, 16, 6, 19, 11, 0, 12, 1, 13, 2, 10, 20, 9]",0,512,0
10,512,147.11567994783476,537,0.061917668994283304,"[20, 8, 15, 3, 14, 4, 18, 6, 17, 5, 16, 7, 19, 10, 0, 12, 1, 13, 2, 11, 21, 9]",0,512,0
