,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,129.5135622027953,400,0.009263488987926394,"[29, 15, 24, 17, 8, 9, 30, 25, 12, 0, 4, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",True,400,0.25,512
1,1,154.78498993670246,802,0.4126350629958324,"[11, 15, 26, 28, 22, 4, 17, 6, 29, 23, 9, 14, 2, 12, 30, 7, 18, 3, 21, 10, 24, 31, 27, 25, 16, 19, 0, 8, 1, 13, 5, 20]",True,400,0.25,512
2,2,156.0908191665933,1204,0.8093289620010182,"[25, 7, 2, 17, 13, 4, 19, 29, 8, 20, 14, 22, 9, 21, 27, 18, 26, 6, 31, 15, 1, 10, 23, 12, 0, 24, 5, 16, 28, 3, 11, 30]",True,400,0.25,512
3,4,160.67214072615104,2008,1.6021458029863425,"[3, 15, 2, 17, 10, 27, 11, 29, 22, 8, 14, 20, 25, 1, 30, 7, 18, 6, 31, 16, 24, 28, 0, 12, 26, 19, 5, 23, 9, 21, 4, 13]",True,400,0.25,512
4,8,169.35319217141296,3613,3.163637626974378,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
5,16,169.35319217141296,6821,6.579159355984302,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
6,32,169.35319217141296,13237,15.484219458972802,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
7,64,169.35319217141296,26069,33.49892242398346,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
8,128,169.35319217141296,51733,67.52870366600109,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
9,256,169.35319217141296,103061,140.57129135998548,"[3, 15, 2, 17, 8, 22, 11, 29, 6, 16, 9, 20, 25, 26, 30, 7, 18, 27, 31, 14, 24, 28, 0, 12, 1, 19, 5, 23, 10, 21, 4, 13]",True,400,0.25,512
