,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,129.5135622027953,0,0.00012068899991390936,"[29, 15, 24, 17, 8, 9, 30, 25, 12, 0, 4, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",exponential,0.01,0.005,0.001,0.009999993965551826,0.01,512
1,1,130.47828708137672,2,0.002451371000006475,"[29, 15, 24, 17, 8, 9, 30, 4, 12, 0, 25, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",exponential,0.01,0.005,0.001,0.00999987743220115,0.01,512
2,2,130.47828708137672,3,0.004096545000038532,"[29, 15, 24, 17, 8, 9, 30, 4, 12, 0, 25, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",exponential,0.01,0.005,0.001,0.009999795174847694,0.01,512
3,4,144.4991024593496,6,0.013109294999821941,"[29, 15, 24, 17, 8, 9, 30, 4, 12, 0, 25, 16, 5, 13, 11, 23, 10, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 1, 14, 28, 19, 6]",exponential,0.01,0.005,0.001,0.009999344556731243,0.01,512
4,8,146.1426860007029,11,0.015123101999961364,"[29, 15, 24, 17, 8, 9, 30, 4, 12, 0, 25, 16, 5, 14, 11, 23, 10, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 1, 13, 28, 19, 6]",exponential,0.01,0.005,0.001,0.00999924387348781,0.01,512
5,16,146.5356669644002,20,0.01715539599990734,"[29, 15, 24, 17, 8, 9, 30, 4, 12, 0, 25, 16, 5, 14, 11, 23, 10, 2, 26, 3, 21, 27, 28, 18, 31, 20, 7, 1, 13, 22, 19, 6]",exponential,0.01,0.005,0.001,0.009999142266987405,0.01,512
6,32,153.4448160814382,40,0.01962116899994726,"[29, 15, 24, 19, 8, 27, 30, 4, 12, 0, 25, 16, 5, 21, 11, 23, 10, 28, 26, 3, 14, 9, 2, 18, 31, 20, 7, 1, 13, 22, 17, 6]",exponential,0.01,0.005,0.001,0.009999018989672214,0.01,512
7,64,162.7404283929971,81,0.02312197399987781,"[25, 15, 24, 19, 31, 27, 14, 4, 13, 0, 29, 16, 5, 28, 10, 22, 11, 21, 26, 30, 3, 9, 2, 18, 8, 20, 7, 1, 12, 23, 6, 17]",exponential,0.01,0.005,0.001,0.00999884396812564,0.01,512
8,128,166.55426119029627,152,0.028840456999887465,"[24, 15, 25, 19, 28, 6, 31, 4, 13, 0, 29, 14, 5, 17, 10, 22, 11, 21, 26, 30, 3, 27, 2, 18, 8, 20, 7, 1, 12, 23, 9, 16]",exponential,0.01,0.005,0.001,0.009998558081116505,0.01,512
9,256,172.74267797302724,293,0.04016669499992531,"[24, 14, 6, 19, 27, 1, 28, 2, 13, 23, 8, 15, 4, 30, 10, 0, 11, 21, 26, 17, 3, 18, 5, 31, 7, 20, 29, 25, 12, 22, 9, 16]",exponential,0.01,0.005,0.001,0.009997991866906928,0.01,512
10,512,176.85874021462317,557,0.0670122869998977,"[25, 29, 6, 19, 27, 1, 14, 24, 13, 23, 8, 18, 4, 30, 10, 0, 11, 21, 7, 17, 3, 15, 5, 20, 9, 31, 28, 2, 12, 22, 26, 16]",exponential,0.01,0.005,0.001,0.009996649946918144,0.01,512
