,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,max_iters,hidden_layers_sizes,is_classifier,schedule,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,0.7240529659123192,2,0.0051736829918809235,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",exponential,100,0.005,0.001,99.99741319196252,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
1,1,0.7240523676882633,4,0.019158170005539432,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3694660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",exponential,100,0.005,0.001,99.99042137377694,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
2,10,0.7241393902982047,22,0.08480833200155757,"[-0.250919762305275, 0.9024286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22170578944475894, -0.7220122786959163, -0.4167107029295637, -0.2682763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18382913772408493, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6177946962329223, -0.39077246165325863, -0.8036557719872323, 0.3694660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",exponential,100,0.005,0.001,99.95760482329504,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
3,50,0.723910930840169,102,0.35940491399378516,"[-0.250919762305275, 0.9024286128198323, 0.4629878836228102, 0.1973169683940732, -0.686962719115127, -0.6870109593275947, -0.8828327756636011, 0.7333522915498704, 0.2042300234864176, 0.417145155592091, -0.9598310114083951, 0.9398197043239886, 0.6648852816008435, -0.5763217786434477, -0.6353500655857988, -0.6341909802931324, -0.39051551408092455, 0.04851286326447568, -0.13610996271576847, -0.41654171960391617, 0.22070578944475894, -0.7220122786959163, -0.4167107029295637, -0.2682763134126166, -0.08686003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18282913772408493, -0.9070991745600046, 0.21608970380287673, -0.6589517526254169, -0.869896814029441, 0.8967710745066665, 0.9302640661491187, 0.6177946962329223, -0.39077246165325863, -0.8036557719872323, 0.3694660530243138, -0.1206950125207974, -0.7549235303104423, -0.008646179777459628, -0.9312229577695632, 0.8186408041575641, -0.48444003679996617, 0.32504456870796394, -0.3745778478211781, 0.039136042355621625, 0.0934205586865593, -0.6292910889489459, 0.9401692555291171, 0.5512656467222291]",exponential,100,0.005,0.001,99.82045891119303,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
4,100,0.7237477240273399,202,0.714379345998168,"[-0.251919762305275, 0.9024286128198323, 0.4619878836228102, 0.1983169683940732, -0.685962719115127, -0.6850109593275947, -0.8828327756636011, 0.7323522915498704, 0.2042300234864176, 0.417145155592091, -0.9588310114083951, 0.9398197043239886, 0.6658852816008435, -0.5773217786434477, -0.6373500655857988, -0.6341909802931324, -0.39251551408092455, 0.04851286326447568, -0.13410996271576847, -0.41554171960391617, 0.22070578944475894, -0.7230122786959163, -0.4167107029295637, -0.2682763134126166, -0.08686003156592814, 0.5713519227860272, -0.6026524356832805, 0.02846887682722321, 0.18282913772408493, -0.9060991745600045, 0.21608970380287673, -0.6579517526254169, -0.871896814029441, 0.8967710745066665, 0.9302640661491187, 0.6167946962329223, -0.39277246165325863, -0.8036557719872323, 0.3714660530243138, -0.1196950125207974, -0.7539235303104423, -0.00964617977745963, -0.9312229577695632, 0.8216408041575641, -0.48444003679996617, 0.32504456870796394, -0.3745778478211781, 0.040136042355621626, 0.0954205586865593, -0.6292910889489459, 0.9401692555291171, 0.5502656467222291]",exponential,100,0.005,0.001,99.64344749046029,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
5,250,0.7254880419528014,502,1.974263173993677,"[-0.250919762305275, 0.9044286128198323, 0.4659878836228102, 0.1983169683940732, -0.687962719115127, -0.6850109593275947, -0.8818327756636011, 0.7303522915498704, 0.2032300234864176, 0.419145155592091, -0.9588310114083951, 0.9378197043239886, 0.6668852816008435, -0.5783217786434477, -0.6363500655857988, -0.6371909802931324, -0.39151551408092455, 0.04951286326447568, -0.13310996271576847, -0.41454171960391617, 0.22370578944475894, -0.7230122786959163, -0.4157107029295637, -0.2672763134126166, -0.08586003156592814, 0.5723519227860272, -0.6016524356832805, 0.030468876827223212, 0.18382913772408493, -0.9070991745600046, 0.21708970380287673, -0.6609517526254169, -0.868896814029441, 0.8987710745066665, 0.9322640661491187, 0.6177946962329223, -0.39477246165325863, -0.8046557719872323, 0.3724660530243138, -0.1186950125207974, -0.7539235303104423, -0.00964617977745963, -0.9312229577695632, 0.8216408041575641, -0.48244003679996617, 0.32804456870796395, -0.3735778478211781, 0.037136042355621623, 0.0994205586865593, -0.6332910889489459, 0.9401692555291171, 0.5492656467222291]",exponential,100,0.005,0.001,99.0177245648481,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
6,500,0.7250413386148666,1002,3.7411630979913753,"[-0.252919762305275, 0.9044286128198323, 0.4649878836228102, 0.2023169683940732, -0.687962719115127, -0.6830109593275947, -0.8828327756636011, 0.7303522915498704, 0.2042300234864176, 0.421145155592091, -0.9568310114083951, 0.9378197043239886, 0.6688852816008435, -0.5733217786434477, -0.6373500655857988, -0.6371909802931324, -0.39451551408092456, 0.052512863264475684, -0.13410996271576847, -0.4175417196039162, 0.22570578944475894, -0.7230122786959163, -0.4187107029295637, -0.2702763134126166, -0.08986003156592814, 0.5733519227860272, -0.6036524356832805, 0.030468876827223212, 0.18182913772408493, -0.9070991745600046, 0.21408970380287673, -0.662951752625417, -0.868896814029441, 0.8987710745066665, 0.9292640661491187, 0.6167946962329223, -0.39277246165325863, -0.8076557719872323, 0.3714660530243138, -0.11769501252079739, -0.7559235303104423, -0.011646179777459631, -0.9312229577695632, 0.8236408041575641, -0.48144003679996616, 0.32904456870796395, -0.3745778478211781, 0.03613604235562162, 0.0994205586865593, -0.6302910889489459, 0.9331692555291171, 0.5472656467222291]",exponential,100,0.005,0.001,98.1468052474767,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
7,1000,0.7247001394110292,2002,7.490650938008912,"[-0.251919762305275, 0.9024286128198323, 0.4659878836228102, 0.2073169683940732, -0.687962719115127, -0.6880109593275947, -0.8818327756636011, 0.7313522915498704, 0.1992300234864176, 0.421145155592091, -0.9538310114083951, 0.9338197043239886, 0.6648852816008435, -0.5713217786434477, -0.6353500655857988, -0.6321909802931324, -0.39051551408092455, 0.054512863264475686, -0.13210996271576847, -0.41654171960391617, 0.23070578944475895, -0.7210122786959163, -0.4177107029295637, -0.2662763134126166, -0.08886003156592814, 0.5713519227860272, -0.6036524356832805, 0.032468876827223214, 0.18082913772408493, -0.9070991745600046, 0.21508970380287673, -0.665951752625417, -0.864896814029441, 0.8977710745066665, 0.9362640661491187, 0.6157946962329223, -0.39177246165325863, -0.8066557719872323, 0.3734660530243138, -0.1196950125207974, -0.7599235303104424, -0.011646179777459631, -0.9322229577695632, 0.8226408041575641, -0.47844003679996616, 0.32704456870796395, -0.3755778478211781, 0.03313604235562162, 0.0954205586865593, -0.6322910889489459, 0.9311692555291171, 0.5472656467222291]",exponential,100,0.005,0.001,96.32394435947916,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
8,2500,0.7251630323443413,4995,20.634990343998652,"[-0.255919762305275, 0.9084286128198323, 0.4689878836228102, 0.2053169683940732, -0.681962719115127, -0.6880109593275947, -0.8808327756636011, 0.7323522915498704, 0.1992300234864176, 0.420145155592091, -0.9528310114083951, 0.9308197043239886, 0.6548852816008435, -0.5723217786434477, -0.6333500655857988, -0.6341909802931324, -0.39051551408092455, 0.0685128632644757, -0.14610996271576848, -0.41254171960391617, 0.23570578944475895, -0.7140122786959163, -0.4157107029295637, -0.2602763134126166, -0.08686003156592814, 0.5693519227860272, -0.5956524356832805, 0.02946887682722321, 0.17982913772408493, -0.9120991745600046, 0.21208970380287673, -0.6579517526254169, -0.860896814029441, 0.8947710745066665, 0.9352640661491187, 0.6177946962329223, -0.3877724616532586, -0.7986557719872323, 0.3714660530243138, -0.1186950125207974, -0.7699235303104424, -0.011646179777459631, -0.9402229577695632, 0.8026408041575641, -0.48044003679996616, 0.33204456870796395, -0.3785778478211781, 0.030136042355621617, 0.08842055868655929, -0.6212910889489459, 0.9201692555291171, 0.5462656467222291]",exponential,100,0.005,0.001,90.19691586212467,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
9,5000,0.7238124906061436,9965,48.20655867300229,"[-0.259919762305275, 0.9024286128198323, 0.4729878836228102, 0.2043169683940732, -0.691962719115127, -0.7010109593275947, -0.8758327756636011, 0.7213522915498704, 0.1962300234864176, 0.418145155592091, -0.9538310114083951, 0.9208197043239886, 0.6448852816008435, -0.5673217786434477, -0.6293500655857988, -0.6371909802931324, -0.38751551408092455, 0.0715128632644757, -0.13410996271576847, -0.41154171960391617, 0.23370578944475895, -0.7190122786959163, -0.4167107029295637, -0.2722763134126166, -0.08486003156592814, 0.5733519227860272, -0.5916524356832805, 0.019468876827223203, 0.17482913772408493, -0.9110991745600046, 0.20008970380287672, -0.6469517526254169, -0.858896814029441, 0.9017710745066665, 0.9442640661491187, 0.6157946962329223, -0.3867724616532586, -0.7956557719872323, 0.3694660530243138, -0.11669501252079739, -0.7609235303104424, -0.003646179777459628, -0.9502229577695632, 0.8096408041575641, -0.47944003679996616, 0.33404456870796395, -0.3855778478211781, 0.03213604235562162, 0.0904205586865593, -0.6192910889489459, 0.9281692555291171, 0.5542656467222291]",exponential,100,0.005,0.001,78.58158564195944,25000,"[6, 6]",True,100,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",sa,relu,True,True,1,[4],0.001,1000
